서울시 기준일,서울시 확진자,서울시 추가 확진,서울시 치료중,서울시 퇴원,서울시 추가 퇴원,서울시 사망,서울시 의심환자 전체,서울시 의심환자 검사중,서울시 의심환자 검사결과(음성),전국 기준일,전국 확진,전국 추가 확진,전국 치료중,전국 퇴원,전국 사망,전국 의심환자 전체,전국 의심환자 검사중,전국 의심환자 검사결과(음성),자가격리자 해외입국자 감시중,자가격리자 해외입국자 감시해제,자가격리자 접촉자 감시중,자가격리자 접촉자 감시해제,확인중 확진자,서울시 당일사망자,전국 당일 사망자
2022.08.24,4457827,20578,0,,,5155,,,,2022.08.24,22588640,139339,0,,26224,,,,,,,,0,4,63
2022.08.25,4475520,17722,0,,,5165,,,,2022.08.25,22701921,113371,0,,26332,,,,,,,,0,10,108
2022.08.26,4491244,15757,0,,,5179,,,,2022.08.26,22802985,101140,0,,26413,,,,,,,,0,14,81
2022.08.27,4505836,14599,0,,,5191,,,,2022.08.27,22898523,95604,0,,26499,,,,,,,,0,12,86
2022.08.28,4518888,13052,0,,,5202,,,,2022.08.28,22983818,85295,0,,26569,,,,,,,,0,11,70
2022.08.29,4524644,5756,0,,,5212,,,,2022.08.29,23026960,43142,0,,26618,,,,,,,,0,10,49
2022.08.30,4545050,20418,0,,,5218,,,,2022.08.30,23142479,115638,0,,26689,,,,,,,,0,6,71
2022.08.31,4560954,15911,0,,,5228,,,,2022.08.31,23246398,103961,0,,26764,,,,,,,,0,10,75
2022.09.01,4574258,13325,0,,,5251,,,,2022.09.01,23327897,81573,0,,26876,,,,,,,,0,23,112
2022.09.02,4589795,15564,0,,,5263,,,,2022.09.02,23417425,89586,0,,26940,,,,,,,,0,12,64
2022.09.03,4603647,13899,0,,,5277,,,,2022.09.03,23497048,79746,0,,27014,,,,,,,,0,14,74
2022.09.04,4615586,11939,0,,,5290,,,,2022.09.04,23569192,72144,0,,27093,,,,,,,,0,13,79
2022.09.05,4620905,5319,0,,,5296,,,,2022.09.05,23606740,37548,0,,27149,,,,,,,,0,6,56
2022.09.06,4639649,18779,0,,,5300,,,,2022.09.06,23706477,99837,0,,27193,,,,,,,,0,4,44
2022.09.07,4654166,14538,0,,,5313,,,,2022.09.07,23791961,85540,0,,27249,,,,,,,,0,13,56
2022.09.08,4667217,13066,0,,,5319,,,,2022.09.08,23864560,72646,0,,27313,,,,,,,,0,6,64
2022.09.09,4679529,12315,0,,,5332,,,,2022.09.09,23933949,69410,0,,27381,,,,,,,,0,13,68
2022.09.10,4685610,6081,0,,,5339,,,,2022.09.10,23976673,42724,0,,27429,,,,,,,,0,7,48
2022.09.11,4690417,4807,0,,,5352,,,,2022.09.11,24004887,28214,0,,27476,,,,,,,,0,13,47
2022.09.12,4696706,6289,0,,,5354,,,,2022.09.12,24041825,36938,0,,27498,,,,,,,,0,2,22
2022.09.13,4706258,9552,0,,,5358,,,,2022.09.13,24099134,57309,0,,27533,,,,,,,,0,4,35
2022.09.14,4723634,17384,0,,,5368,,,,2022.09.14,24193038,93981,0,,27593,,,,,,,,0,10,60
2022.09.15,4735448,11819,0,,,5375,,,,2022.09.15,24264470,71471,0,,27665,,,,,,,,0,7,72
2022.09.16,4744665,9225,0,,,5381,,,,2022.09.16,24316302,51874,0,,27725,,,,,,,,0,6,60
2022.09.17,4752318,7659,0,,,5388,,,,2022.09.17,24359702,43457,0,,27782,,,,,,,,0,7,57
2022.09.18,4758288,5970,0,,,5394,,,,2022.09.18,24394466,34764,0,,27828,,,,,,,,0,6,46
